"city","total_population","population_growth","indigenous_population","population_density","dwelling_house","dwelling_attached","dwelling_apartment","dwelling_other","household_size","tenure_owned","tenure_mortgage","tenure_rent","tenure_other","life_expectancy","income_quintile","non_english_speaking","age_0_14","age_15_64","age_65","median_age","housing_price","unit_price","sector_goods","sector_market","sector_nonmarket","disability","household_income","lg_fragmentation","house_price_to_income_ratio","housing_construction_costs","public_housing","homelessness","mortgage_stress","rent_stress","building_approvals","jobs_accessible_proportion","jobs_accessible_number","public_transport","active_transport","peak_travel_delay","knowledge_industries","broadband_connections","new_business","patent_application","obesity","safety","access_to_open_space","crisis_support","suicide","air_quality","volunteering","greenhouse_gas","office_energy_efficiency","public_transport_access","employment_growth","unemployment","youth_unemployment","participation","education_year_12","education_certificate","education_bachelor","gross_regional_product","indigenous_unemployment"
"Sydney",5230330,0.0191369361146501,0.015,9464.35028977511,0.552650065377588,0.140497410874328,0.299525146558368,0.00732737718971624,2.8,0.298823904606572,0.339395868410909,0.343695578750177,0.0180846482323413,83.6,0.168576213677292,0.38,0.18655568447623,0.676620576713809,0.136823738809962,35.8,1372742.235,876781.6169,0.180046157366817,0.57753288880034,0.242420953832843,0.0511849568404569,91000,36,9.06275246151474,1320,0.0457928485490606,602,0.084,0.142,903.958258847912,0.40338479121472,891108.871191823,0.253,0.052,0.675,0.210727190881907,0.88,0.167898950186766,40.4966038393258,0.245191099849537,0.520224827310717,0.5069,0.931555102552555,8.15515317170478,7.87814020312924,0.18,13.7,4.5372126553273,0.4344,0.0236290480558599,0.0446598376245262,0.103675773420472,0.668534438704526,0.649518938957954,0.247056727511525,0.327169631853513,83200,0.117982157572283
"Melbourne",4963349,0.0257873609582393,0.006,6968.58832811152,0.663368981761545,0.169579582127792,0.161613020663679,0.00543841544698311,2.7,0.312468175933468,0.367831538030043,0.302152487663423,0.0175477983730664,83.7,0.18529738187508,0.343,0.184282278657933,0.678872558441432,0.136845162900635,35.6,936194.6715,624049.1638,0.199976667988434,0.547022563673466,0.253000768338099,0.050843186582219,80236,35,8.28729079470558,1355,0.0257800644261304,461,0.081,0.11,1102.78362452449,0.465424121677442,952366.196772398,0.176,0.049,0.565,0.166065539098465,0.879,0.162968047817911,33.7381044097383,0.248074022315225,0.519242812419493,0.476,0.953278756310405,8.81918363348058,7.7,0.19,13.8,4.17981462045103,0.4048,0.0282104205080194,0.0573516858081292,0.135817864876685,0.671799773543248,0.642060094951345,0.255152634102727,0.31412524163216,67300,0.116996279616213
"Brisbane",2462637,0.0189552891342227,0.025,4052.22582841278,0.747291237101924,0.104685391607177,0.140016210270364,0.00800716102053449,2.7,0.271528811396981,0.363376052680752,0.348794773162198,0.0163003627600693,83,0.171401713989329,0.171,0.197277183724425,0.670783444660502,0.131939371615073,35.3,604163.5299,463502.7659,0.203755106141356,0.504707055452891,0.291537838405753,0.0512548836902513,81224,8,6.11512790314857,1405,0.0360703576558167,415,0.064,0.129,939.318299854993,0.518329918184621,537977.213733409,0.132,0.045,0.455,0.134200565408792,0.886,0.16404761066664,36.1818024995522,0.282002029105975,0.514682092561826,0.5581,0.92997086229486,12.660688496275,6.61063663064383,0.201,18.5,4.33702475642188,0.2227,0.0199457434536685,0.0599419510405032,0.125749736960572,0.679235885339552,0.616517535288761,0.290893743719157,0.260755671149391,69400,0.167533769271157
"Adelaide",1345777,0.00854934059137008,0.015,3161.30552869215,0.73276128178089,0.176590137374451,0.0866178121080082,0.00403076873665109,2.5,0.314104215661824,0.370909398207215,0.290815327505787,0.0241710586251744,82.8,0.22651351213667,0.207,0.176877407401023,0.653005958024745,0.170116634574232,38.7,509058.8092,380450.5477,0.196911586647804,0.490787322987648,0.312301090364548,0.0619175975392585,65780,24,6.48718329539767,1055,0.0618508833620211,361,0.07,0.109,761.344561543257,0.678322270303552,380104.667387299,0.102,0.038,0.43,0.117962296153225,0.842,0.132475666989281,27.2174698459084,0.282078159210714,0.496747022392331,0.4614,0.938907255394115,12.5115978856874,6.875,0.208,12.3,4.32797630168577,0.3553,0.00553522616508051,0.0605876671345991,0.15501131343386,0.632396952410833,0.553367621994099,0.281573720932454,0.241110826867982,60800,0.178227208089746
"Perth",2059484,0.0116235042205169,0.017,3347.04940352493,0.747588363370814,0.167420820023844,0.0802612764612257,0.00472954014411619,2.6,0.28728560912501,0.423298280465066,0.266738760871066,0.0226773495388567,83.4,0.17740937910846,0.215,0.192156018442003,0.669454415090231,0.138389566467766,36.1,619945.1022,472311.8997,0.250061286372078,0.46675940368717,0.283179309940753,0.0411281930185369,85436,32,5.97334629445004,1065,0.0310972803875758,277,0.093,0.099,674.149447143071,0.555810741220441,472390.774502889,0.118,0.035,0.41,0.113745898501918,0.886,0.151330912482926,40.5020120354366,0.233938098394737,0.484788557744797,0.5611,0.954150710862947,12.5696809770244,7.675,0.194,20.9,4.23426017122994,0.2373,0.00371746297714859,0.0625242503708673,0.139480393469128,0.678483205605143,0.602926951040659,0.295447866473681,0.264455396566571,72200,0.202262951187582
"Hobart",232606,0.0118369047004951,0.041,2180.12877323075,0.834492674382107,0.0635460648218462,0.0949343377580673,0.00702692303797981,2.4,0.337983963616122,0.357407648668175,0.286736228725735,0.0178721589899684,81.3,0.231711353856339,0.081,0.18256739768124,0.640133922335522,0.177298679983238,39.8,458758.4555,416678.7621,0.188609310354515,0.470900404253727,0.340490285391758,0.062741854207669,64168,8,6.10162550375405,1575,0.0589754675357788,386,0.053,0.109,668.082508619726,0.915684593049171,90988.830957517,0.064,0.076,0.535,0.107237242598689,0.825,0.130375203915171,15.709015179397,0.275607722367207,0.574407043884977,0.4057,0.959305840672188,13.4527044006805,6.1,0.226,11.6,4.02295264324889,0.1311,0.0164820479695824,0.0598458173026104,0.143664268828694,0.636919673587698,0.504185336109636,0.277971180540255,0.244002241093855,59200,0.122932917316693
"Darwin",148564,0.0141704471526651,0.098,3560.58176063293,0.58968058968059,0.10985530985531,0.249394849394849,0.0510692510692511,2.7,0.186454367139725,0.348909657320872,0.439506172839506,0.0251298026998962,81.1,0.109142469947549,0.23,0.201384970849789,0.720070659036565,0.0785443701136455,33.6,519279.1148,409821.1104,0.237232372493626,0.450135626971338,0.312632000535036,0.0314325936241712,113516,4,3.97176927805325,2120,0.0554539792248498,1196,0.068,0.1,317.035082523357,0.91642198429068,66096.9356169653,0.089,0.067,999.01,0.0850669458112997,0.879,0.146565608716248,8.35485869845226,0.280065470737554,0.465533878787129,0.4859,0.926880519580112,14.1015415579496,6.5,0.203,999.01,4.41025738175335,0.0596,0.0221341575101273,0.0356056809757582,0.0787827234489772,0.7783639169906,0.583834342445492,0.338440986955838,0.249949484744393,140600,0.117841150129625
"Canberra",420960,0.0189436026954024,0.017,4282.30606454455,0.648995244669428,0.181512501917472,0.167614664825894,0.00187758858720663,2.5,0.275722960635271,0.389082338952822,0.320749642589211,0.0144450578226959,83.2,0.11764170685106,0.231,0.189818469782616,0.684779202607933,0.125402327609451,35,710078.5209,465663.2089,0.0935848718828194,0.419076761911643,0.487338366205537,0.0424685677858348,107640,1,4.78030355268378,1500,0.0618986317004871,404,0.055,0.081,1699.44887875333,0.976247595981044,215383.649615722,0.082,0.079,0.35,0.14395709708181,0.918,0.16795295847115,52.9480517651698,0.242084835786788,0.570739967609554,0.7252,0.956330804418856,9.01658922096898,6.8,0.249,999.01,4.35638874785785,0.2453,0.0148974652478018,0.0394682410345497,0.104730611181794,0.716552962014243,0.743970074812968,0.22485282958723,0.415074269518487,97600,0.0890795117123062
"Albury - Wodonga",93603,0.015758558760204,0.029,2135.38816236088,0.80666547670653,0.15684524568427,0.029451513374302,0.00703776423489813,2.4,0.294718546075502,0.335488199060804,0.354516070012807,0.0152771848508874,81.2762469494025,0.235058584134694,0.07,0.199830835628619,0.636415884100718,0.163753280270663,37.1,356509.5208,226757.1207,0.225900614888918,0.476121590545139,0.297977794565944,0.0586445592238736,63076,2,5.00269064823808,1365,0.0495923531065505,341,0.05,0.12,774.54782432187,0.998006744301124,43084.9491582238,0.012,0.05,999.01,0.0618946049635423,0.822,0.11117295116182,7.99976741953477,0.350230572786522,0.538004021139348,0.5034,0.949197705343574,12.9728723408154,6.53002622957231,0.233,12.7,4.68365305985181,999.01,0.00113391320303924,0.0807207605571523,0.165159153015711,0.616936137740988,0.446139911883453,0.347023489769009,0.170679298725399,62000,0.199740596627756
"Newcastle",486704,0.0102095781524936,0.048,3034.33903721844,0.794160651585201,0.122115592532718,0.0755223081437853,0.00820144773829505,2.5,0.337341048678935,0.349926854259333,0.297729816809898,0.0150022802518346,81.1436611090563,0.218558727605772,0.062,0.190186960630446,0.64018716878078,0.169625870588774,38.2,592069.4722,495332.0381,0.246245939864229,0.434034882740691,0.31971917739508,0.0642867131145881,68848,5,7.51829600054008,1335,0.0563728091984334,289,0.06,0.119,792.06252671028,0.74800862009856,145691.134953837,0.032,0.037,0.365,0.111438969796539,0.825,0.146153124706912,21.429174603248,0.317110398729147,0.523140400960333,0.5867,0.939322248290715,11.3480939357188,8.137170753531,0.184,14.2,4.3537811327976,0.1559,0.0172173234337134,0.0588728002853467,0.113871166535303,0.642257764204518,0.44374268267487,0.330879875677989,0.192158850507031,71700,0.158292406497922
